State,Year,Crop,Area,Production
Andhra Pradesh,2006,Bajra,24,11
Andhra Pradesh,2006,Jowar,15,32
Andhra Pradesh,2006,Onion,85,1014
Andhra Pradesh,2006,Rice,168963,845829
Andhra Pradesh,2007,Bajra,1000,1000
Andhra Pradesh,2007,Jowar,1000,1000
Andhra Pradesh,2007,Onion,1000,14000
Andhra Pradesh,2007,Rice,242000,715000
Andhra Pradesh,2007,Rice,169000,803000
Andhra Pradesh,2008,Bajra,823,546
Andhra Pradesh,2008,Jowar,658,1681
Andhra Pradesh,2008,Onion,915,15376
Andhra Pradesh,2008,Rice,240231,716609
Andhra Pradesh,2008,Onion,16,154
Andhra Pradesh,2008,Rice,169861,796648
Andhra Pradesh,2009,Bajra,375,287
Andhra Pradesh,2009,Jowar,510,601
Andhra Pradesh,2009,Onion,501,8113
Andhra Pradesh,2009,Rice,202153,616567
Andhra Pradesh,2009,Jowar,34,119
Andhra Pradesh,2009,Onion,26,660
Andhra Pradesh,2009,Rice,104423,456537
Andhra Pradesh,2010,Bajra,159,83
Andhra Pradesh,2010,Jowar,273,395
Andhra Pradesh,2010,Onion,759,15073
Andhra Pradesh,2010,Rice,237640,457704
Andhra Pradesh,2010,Onion,9,118
Andhra Pradesh,2010,Rice,172888,849917
Andhra Pradesh,2011,Bajra,94,78
Andhra Pradesh,2011,Jowar,183,393
Andhra Pradesh,2011,Onion,808,11645
Andhra Pradesh,2011,Rice,197445,589741
Andhra Pradesh,2011,Bajra,6,5
Andhra Pradesh,2011,Onion,38,973
Andhra Pradesh,2011,Rice,139649,587084
Andhra Pradesh,2012,Bajra,85,101
Andhra Pradesh,2012,Jowar,156,414
Andhra Pradesh,2012,Onion,547,10443
Andhra Pradesh,2012,Rice,232300,355651
Andhra Pradesh,2012,Tomato,433,9453
Andhra Pradesh,2012,Jowar,2,8
Andhra Pradesh,2012,Onion,15,330
Andhra Pradesh,2012,Rice,168756,746239
Andhra Pradesh,2012,Tomato,666,6486
Andhra Pradesh,2013,Bajra,66,78
Andhra Pradesh,2013,Jowar,192,335
Andhra Pradesh,2013,Onion,595,11204
Andhra Pradesh,2013,Rice,235159,434104
Andhra Pradesh,2013,Tomato,400,7151
Andhra Pradesh,2013,Jowar,12,55
Andhra Pradesh,2013,Onion,14,259
Andhra Pradesh,2013,Rice,169523,777602
Andhra Pradesh,2013,Tomato,716,8094
Andhra Pradesh,2014,Bajra,58,75
Andhra Pradesh,2014,Jowar,310,461
Andhra Pradesh,2014,Onion,563,10337
Andhra Pradesh,2014,Rice,226072,681833
Andhra Pradesh,2014,Tomato,407,5851
Andhra Pradesh,2014,Jowar,1776,1160
Andhra Pradesh,2014,Onion,15,265
Andhra Pradesh,2014,Rice,168045,881396
Andhra Pradesh,2014,Tomato,628,8509
Andhra Pradesh,2014,Rice,394117,1563229
Andhra Pradesh,1997,Bajra,100,100
Andhra Pradesh,1997,Jowar,200,100
Andhra Pradesh,1997,Rice,295000,845300
Andhra Pradesh,1997,Jowar,2400,3500
Andhra Pradesh,1997,Rice,14500,51800
Andhra Pradesh,1998,Bajra,100,100
Andhra Pradesh,1998,Jowar,600,200
Andhra Pradesh,1998,Rice,298400,921400
Andhra Pradesh,1998,Bajra,200,200
Andhra Pradesh,1998,Jowar,800,1000
Andhra Pradesh,1998,Rice,29100,99900
Andhra Pradesh,1999,Bajra,142,159
Andhra Pradesh,1999,Jowar,262,67
Andhra Pradesh,1999,Rice,302886,969414
Andhra Pradesh,1999,Jowar,940,374
Andhra Pradesh,1999,Rice,14822,53167
Andhra Pradesh,1999,Onion,1593,23110
Andhra Pradesh,2000,Bajra,406,550
Andhra Pradesh,2000,Jowar,181,67
Andhra Pradesh,2000,Onion,376,5247
Andhra Pradesh,2000,Rice,292899,987363
Andhra Pradesh,2000,Bajra,31,42
Andhra Pradesh,2000,Jowar,718,626
Andhra Pradesh,2000,Onion,816,14792
Andhra Pradesh,2000,Rice,12692,49600
Andhra Pradesh,2001,Bajra,77,76
Andhra Pradesh,2001,Jowar,184,105
Andhra Pradesh,2001,Onion,693,9615
Andhra Pradesh,2001,Rice,272468,935110
Andhra Pradesh,2001,Bajra,43,43
Andhra Pradesh,2001,Jowar,398,294
Andhra Pradesh,2001,Onion,883,11504
Andhra Pradesh,2001,Rice,44917,181060
Andhra Pradesh,2002,Bajra,419,356
Andhra Pradesh,2002,Jowar,76,25
Andhra Pradesh,2002,Onion,806,9635
Andhra Pradesh,2002,Rice,202953,646811
Andhra Pradesh,2002,Bajra,6,5
Andhra Pradesh,2002,Jowar,8638,6928
Andhra Pradesh,2002,Onion,737,13565
Andhra Pradesh,2002,Rice,2716,7385
Andhra Pradesh,2002,Tomato,1067,7291
Andhra Pradesh,2003,Bajra,16082,21839
Andhra Pradesh,2003,Jowar,9610,28426
Andhra Pradesh,2003,Onion,439,6404
Andhra Pradesh,2003,Rice,170487,482990
Andhra Pradesh,2003,Bajra,197,268
Andhra Pradesh,2003,Jowar,22318,41913
Andhra Pradesh,2003,Onion,428,3364
Andhra Pradesh,2003,Rice,5772,16837
Andhra Pradesh,2003,Tomato,1478,14161
Andhra Pradesh,2004,Bajra,5824,1584
Andhra Pradesh,2004,Jowar,1797,961
Andhra Pradesh,2004,Onion,845,14336
Andhra Pradesh,2004,Rice,240404,833961
Andhra Pradesh,2004,Bajra,10,3
Andhra Pradesh,2004,Jowar,1515,8043
Andhra Pradesh,2004,Onion,394,5344
Andhra Pradesh,2004,Rice,21247,70922
Andhra Pradesh,2005,Bajra,796,464
Andhra Pradesh,2005,Jowar,202,112
Andhra Pradesh,2005,Onion,1327,24880
Andhra Pradesh,2005,Rice,288879,892636
Andhra Pradesh,2005,Jowar,2449,12806
Andhra Pradesh,2005,Onion,372,5986
Andhra Pradesh,2005,Rice,31434,111559
Andhra Pradesh,2006,Onion,598,10027
Andhra Pradesh,2006,Rice,288638,783941
Andhra Pradesh,2006,Bajra,40,38
Andhra Pradesh,2006,Jowar,723,4168
Andhra Pradesh,2006,Onion,566,7493
Andhra Pradesh,2006,Rice,28933,100947
